"0","JaneJaw","JANUARY","2023","168:149:90:158:78:26:165:76:44:7:93:59","2"
"1","MODOK Discard","FEBRUARY","2023","149:20:105:173:150:30:86:48:139:197:11:7","9"
"2","Lockdown Control","MARCH","2023","52:113:37:89:98:147:79:120:68:121:143:93","9"
"3","Leech Patriot","APRIL","2023","168:145:200:141:109:119:41:187:157:21:88:44","10"
"4","Moon Bounce","MAY","2023","189:199:129:159:198:146:12:108:61:15:103:140","9"
"5","Multiple Move","JUNE","2023","71:74:85:203:107:135:29:46:79:166:70:65","4"
"6","Disruption Move","JULY","2023","199:72:74:113:85:158:120:180:206:26:3:93","10"
"7","Ongoing Destroyer","AUGUST","2023","10:113:12:31:98:25:32:183:121:83:142:42","11"
"8","Jean Grey Control","SEPTEMBER","2023","113:102:200:29:207:169:139:206:216:165:87:182","4"
"9","Toxic Junk","OCTOBER","2023","154:218:203:84:159:27:231:164:61:195:144:45","11"
"10","Deadpool Destroy","NOVEMBER","2023","38:23:27:55:173:70:81:163:40:152:229:39","0"
"11","Collector Creator","DECEMBER","2023","72:125:210:161:153:137:32:24:86:170:43:178","4"
"12","Kingpin Disruption","JANUARY","2024","203:36:102:82:123:29:79:120:242:180:57:224","3"
"13","Sauron Beatdown","FEBRUARY","2024","177:50:225:89:222:96:194:242:53:160:45:93","6"
"14","Risk-Card","MARCH","2024","251:227:20:116:150:30:56:226:228:67:219:178","6"
"15","Evolved Swamp","APRIL","2024","168:154:64:136:41:91:164:220:53:195:240:0","11"
"16","Card Chipper","MAY","2024","218:176:14:24:96:267:263:242:1:17:219:262","3"
"17","Supergiant Surprise","JUNE","2024","221:52:190:12:73:29:215:270:257:167:183:83","8"
"18","Baby Bouncers","JULY","2024","154:10:184:63:129:15:54:135:266:234:253:185","4"
"19","Disruption Rushdown","AUGUST","2024","95:161:252:97:225:89:270:282:169:134:44:233","7"
"20","Smooth Curves","SEPTEMBER","2024","124:122:285:200:282:169:280:286:262:87:201:264","9"
"21","Loki Mirror","OCTOBER","2024","293:125:244:230:24:265:19:6:282:242:88:224","3"
"22","Pixie Surprise","NOVEMBER","2024","177:239:260:102:96:231:193:188:305:262:165:140","2"
"23","Scarlet Surfer","DECEMBER","2024","114:135:22:191:81:110:275:267:246:1:280:138","2"
